Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Physical exercise,Calories
34.53,Male,65.32,1.62,189.17,157.59,69.09,1.01,729.02,Yoga,26.821275690400313,1.52,4.02,2.03,24.89,-0.03,1793.0
22.78,Female,56.61,1.55,178.83,132.11,72.79,1.39,1003.3,Yoga,27.81788093525962,1.92,4.01,2.03,23.56,0.98,1755.0
32.99,Female,58.94,1.67,175.17,124.01,55.07,0.89,781.78,Cardio,26.046838446623156,1.91,2.99,1.0,21.13,-0.04,1523.0
39.34,Male,93.38,1.7,191.19,155.04,49.84,1.1,1188.99,Strength,30.27354272534237,2.52,4.02,2.01,32.31,-0.01,2584.0
44.74,Female,52.31,1.88,194.35,153.1,71.02,1.08,777.6,Yoga,14.443535119247024,2.89,3.99,2.0,14.8,3.0,1547.0
52.94,Male,105.08,1.84,176.04,129.51,61.9,0.68,821.3,HIIT,31.671629146137057,2.9,3.0,1.0,31.04,-0.01,2836.0
23.32,Male,58.56,1.78,185.04,141.35,58.14,1.67,2389.94,HIIT,21.99087690055158,2.73,4.97,3.01,18.48,0.0,1630.0
56.1,Female,85.11,1.63,183.75,140.84,52.19,1.01,1336.53,HIIT,30.053398749943742,2.88,3.96,2.03,32.03,-0.03,2355.0
24.17,Female,87.59,1.79,177.39,154.24,64.94,1.77,1840.8,Cardio,27.107399084346667,3.49,4.01,3.0,27.34,-0.02,2391.0
38.43,Female,50.46,1.61,167.24,128.12,50.07,1.18,1039.34,Cardio,21.00404985887775,2.51,2.0,1.01,19.47,-0.01,1512.0
49.77,Female,87.07,1.63,160.79,142.47,57.67,1.7,1985.94,Strength,34.46233972593604,3.51,4.0,2.98,32.77,-0.01,2294.0
48.07,Female,84.54,1.82,175.78,148.84,70.4,1.9,2710.73,HIIT,26.184296528090293,3.51,4.97,2.97,25.52,0.03,2467.0
19.12,Female,82.76,1.96,173.93,169.63,61.7,1.91,1992.51,Cardio,17.598417287207997,3.5,4.96,3.04,21.54,0.02,2224.0
38.17,Female,57.9,1.56,185.26,132.12,54.04,1.64,1918.8,Strength,24.91610970911135,2.71,5.01,3.0,23.79,3.01,1835.0
26.75,Male,71.47,1.97,180.89,151.02,72.95,0.73,482.68,Yoga,26.074637317921344,3.61,3.03,1.02,18.42,-0.01,2019.0
18.69,Male,95.24,1.85,189.74,142.84,50.07,1.2,1585.32,HIIT,28.98155806053171,2.28,3.98,2.01,27.83,0.99,2503.0
39.88,Female,57.52,1.71,168.01,142.6,60.95,1.86,1451.92,Yoga,22.25008553815828,2.71,5.0,3.01,19.67,0.02,1723.0
36.63,Female,77.53,1.77,180.46,128.1,56.97,1.37,1808.4,HIIT,23.866399238675037,2.1,3.97,2.0,24.75,-0.04,2122.0
18.94,Male,73.02,1.79,176.82,125.49,60.99,0.81,711.5,Cardio,26.377375535298274,1.6,2.98,1.0,22.79,-0.03,1911.0
45.89,Female,59.39,1.68,164.89,147.4,62.07,1.16,835.9,Yoga,25.49374556072287,2.51,4.0,2.01,21.04,-0.03,1706.0
37.13,Male,73.15,1.74,188.11,141.25,65.03,1.03,989.62,Cardio,25.50998960174953,2.42,3.0,2.01,24.16,0.97,2112.0
50.22,Male,86.89,1.63,161.28,143.14,58.13,1.71,1781.14,Cardio,31.225145483470587,3.5,4.04,3.02,32.7,-0.03,2370.0
31.05,Female,77.09,1.71,189.85,137.16,51.9,1.26,1661.81,HIIT,29.721541869317853,1.81,3.97,1.99,26.36,1.01,2416.0
24.11,Female,88.25,1.79,177.05,153.97,65.26,1.76,1371.74,Yoga,27.316088021922255,3.49,3.99,2.99,27.54,0.01,2309.0
50.04,Female,56.74,1.91,183.91,131.02,68.11,1.1,1056.0,Cardio,23.927057020934605,2.7,3.98,2.0,15.55,0.01,1731.0
54.19,Female,86.05,1.76,188.81,157.96,67.9,1.49,1965.16,HIIT,26.591568238408986,3.41,3.0,1.99,27.78,-0.01,2440.0
24.92,Male,104.89,1.88,173.81,155.97,66.99,1.34,1285.33,Cardio,29.015252792605356,2.31,3.02,1.99,29.68,0.02,2656.0
38.99,Female,102.15,1.94,192.11,133.65,49.96,0.89,587.93,Yoga,30.68342203523394,2.39,3.0,1.01,27.14,-0.0,2531.0
44.2,Male,89.32,1.99,192.28,135.33,57.9,1.39,1501.2,Strength,23.732558493956574,1.98,3.98,2.0,22.55,1.02,2508.0
18.19,Female,58.33,1.61,174.9,149.43,71.1,1.89,2702.7,HIIT,23.69462451621662,2.71,3.98,3.0,22.5,-0.01,1692.0
56.54,Male,76.43,1.86,173.3,140.88,55.03,1.13,1487.87,HIIT,24.06690096460597,2.8,4.0,1.97,22.09,-0.02,2040.0
50.14,Male,52.72,1.84,195.31,123.96,51.94,1.38,1486.67,Strength,18.08337041595994,3.09,4.01,1.97,15.57,-0.01,1614.0
32.46,Female,125.72,1.83,198.14,145.88,62.25,1.1,792.0,Yoga,35.0,2.1,3.0,2.0,37.54,0.02,3318.0
42.2,Female,60.04,1.74,195.1,140.99,52.12,1.79,1855.87,Cardio,22.61376050131018,2.71,5.01,2.96,19.83,-0.01,1643.0
37.17,Female,77.33,1.82,191.95,120.98,50.17,1.49,1432.78,Cardio,21.83571975917483,2.79,4.01,2.02,23.35,0.01,2155.0
40.54,Female,80.15,1.75,167.97,167.28,73.98,1.62,1263.6,Yoga,24.87545617701283,3.5,4.97,3.0,26.17,0.03,2134.0
25.97,Male,127.64,1.73,167.28,159.83,62.29,1.31,866.17,Yoga,35.0,2.9,2.99,1.02,42.65,0.02,3486.0
58.31,Male,56.51,1.7,170.09,122.21,57.28,0.73,481.8,Yoga,23.682332365654712,2.71,2.01,1.0,19.55,-0.03,1362.0
48.21,Female,56.83,1.51,184.97,126.24,51.76,1.36,979.2,Yoga,26.270102875998624,2.08,3.98,2.0,24.92,-0.02,1680.0
26.51,Male,88.06,1.98,161.27,152.71,52.96,1.79,2559.7,HIIT,22.338378209920386,3.47,3.99,3.0,22.46,1.01,2366.0
40.09,Female,52.11,1.61,197.84,127.96,70.11,0.86,567.6,Yoga,23.95859169649077,3.32,1.99,1.0,20.1,-0.0,1246.0
41.12,Male,76.99,1.79,171.88,131.97,56.14,1.4,1512.0,Strength,23.165791920050033,1.97,3.99,2.0,24.03,0.02,2090.0
51.94,Female,52.36,1.67,169.02,123.96,52.23,1.48,1304.77,Cardio,18.426703558647347,1.5,2.0,1.02,18.77,0.02,1465.0
36.04,Female,109.91,1.77,191.6,155.72,74.17,1.2,1056.0,Cardio,35.0,3.4,2.02,1.0,35.08,0.0,2927.0
33.16,Male,102.92,1.75,185.67,139.17,53.08,1.41,1014.35,Yoga,33.89930438708417,2.2,3.03,1.99,33.61,0.03,2687.0
37.53,Male,88.38,1.79,182.29,137.53,67.94,1.74,2488.2,HIIT,28.73880216035004,3.49,5.0,3.0,27.58,3.98,2648.0
21.15,Male,80.97,1.89,193.85,137.3,55.11,1.81,1409.63,Yoga,26.73493627976363,3.52,4.02,2.98,22.67,-0.02,2282.0
26.06,Male,71.49,1.5,182.1,141.91,53.99,1.16,1020.8,Cardio,31.86097720703648,2.63,1.98,1.0,31.77,-0.01,1888.0
39.83,Female,55.43,1.61,184.04,158.68,63.98,1.57,1224.6,Yoga,23.900003849437784,2.69,4.0,3.0,21.38,-0.02,1733.0
33.0,Male,53.46,1.66,190.96,129.18,71.97,1.25,1236.38,Strength,26.170585442030177,2.52,3.0,1.0,19.4,-0.02,1442.0
52.76,Male,84.34,1.76,165.07,136.66,68.98,1.67,1303.6,Yoga,23.789062884293372,3.51,5.02,3.01,27.23,-0.01,2233.0
58.51,Male,60.0,1.76,193.96,119.79,53.22,1.73,1353.55,Yoga,23.0766615700801,2.68,5.02,3.04,19.37,0.03,1721.0
51.79,Female,59.71,1.7,169.36,150.65,58.21,1.23,811.06,Yoga,20.95774007763135,2.0,2.97,1.0,20.66,-0.04,1470.0
30.96,Male,76.34,1.62,173.88,126.83,73.95,1.39,1834.8,HIIT,27.01916936782524,2.31,4.02,2.0,29.09,2.03,2271.0
28.5,Female,58.38,1.61,198.29,121.81,72.21,1.2,1151.04,Cardio,23.70418773306093,2.0,2.96,1.99,22.52,0.02,1464.0
39.71,Female,72.43,1.88,198.06,147.05,50.82,0.55,544.5,Strength,21.717990909862536,2.21,2.01,1.0,20.49,-0.01,1821.0
39.35,Male,55.94,1.72,183.9,147.83,59.16,1.95,2024.88,Cardio,19.364312785366483,2.69,5.0,2.98,18.91,-0.0,1771.0
38.0,Female,45.48,1.68,193.39,144.5,57.82,1.01,968.79,Cardio,20.316212167778396,2.43,3.02,1.99,16.11,-0.02,1374.0
25.97,Male,59.55,1.51,181.0,128.99,70.85,1.7,1327.02,Yoga,26.44677198261363,2.71,4.99,3.01,26.12,0.01,1646.0
26.76,Female,87.91,1.63,183.0,134.49,73.87,1.75,2504.42,HIIT,33.183401419167105,3.49,5.01,3.01,33.09,4.02,2606.0
45.16,Female,65.14,1.54,198.71,132.97,57.92,1.67,1738.14,Cardio,28.97085398152859,2.7,4.03,3.01,27.47,-0.01,1898.0
58.01,Male,109.01,1.91,197.9,155.63,55.88,1.49,1971.72,HIIT,26.074047642434586,2.2,3.0,2.03,29.88,-0.0,2956.0
56.66,Female,125.29,1.86,197.11,128.91,64.0,1.0,720.0,Yoga,35.0,2.19,3.0,2.0,36.22,0.0,3244.0
49.94,Male,70.13,1.69,186.95,161.52,69.96,1.16,1150.49,Strength,27.85437033348751,2.5,1.98,1.02,24.55,0.02,1761.0
56.9,Female,85.73,1.69,189.23,133.23,49.98,1.76,2514.86,HIIT,29.69620564604087,3.51,5.0,2.99,30.02,0.01,2321.0
33.8,Male,64.25,1.78,168.9,144.34,63.74,1.33,1437.6,Strength,23.602779245859587,1.81,3.98,2.01,20.28,-0.01,1710.0
18.62,Female,60.37,1.59,184.2,128.06,52.93,1.14,1004.11,Cardio,26.416815145578436,2.23,1.98,1.01,23.88,0.03,1591.0
